animals,occupations,things at the beach,things in a classroom,things you rescue from a burning home,excuses for being late
-0.039261073,-0.01710804,-0.0018421334,-0.014246311,-0.002057284,0.03683464
-0.047426652,-0.044292357,-0.05131099,-0.04369989,0.049135868,-0.045565095
-0.059285164,0.022814553,0.0032618917,0.0082428185,-0.038607888,0.047202382
0.08211628,0.076892845,0.06722866,0.061353445,-0.004129576,0.07145491
0.061309252,0.05984213,0.056334663,0.008218172,0.059544586,-0.04579163
0.020444453,0.051861934,0.050788242,-0.029977085,-0.0017043113,-0.0767609
-0.061914086,-0.050961327,-0.039793663,0.0029225538,0.027592063,-0.039355706
-0.04260214,-0.037011325,0.0054414305,-0.026533946,0.03852086,0.021697192
0.013520946,-0.033557512,-0.030591417,0.035830013,0.030279052,-0.025092527
0.01866307,0.08471824,-0.023137042,-0.03171761,0.031005267,0.058716178
0.016822582,0.03744649,-0.004650629,0.013356076,0.05802563,0.06997639
0.003189343,-0.007690695,0.05156773,-0.016596453,-0.03624566,0.05609111
0.0874606,-0.00836171,0.0015592682,0.017753754,0.03215547,0.052595064
0.023918245,-0.041140933,-0.07936106,-0.05887722,-0.048675444,-0.030527033
0.021842873,-0.08007938,-0.06162728,-0.036071684,0.08938305,0.02680011
-0.021903759,-0.028235225,0.064001925,-0.022751838,0.023001134,0.056806706
-0.03220309,-0.07331806,0.025867155,0.0057733706,0.026758676,0.029794743
0.08740366,0.071483776,0.08231275,0.043508653,0.007690967,-0.044315476
-0.039339878,0.02004519,0.015025217,-0.04120877,0.08401049,-0.06615524
-0.016797954,-0.031654682,0.012214793,0.0143839065,-0.0012234696,0.013452271
0.07458906,0.047027625,0.08334237,0.07490699,0.022928651,-0.0243886
-0.013341684,-0.03235546,-0.068989076,-0.04910745,-0.014599073,0.03550572
-3.466401e-05,-0.009819629,-0.043743018,-0.022869276,-0.025684886,0.06515163
-0.08742964,0.06221977,0.018160688,0.0215592,0.026622755,0.026897922
0.056347392,-0.008247871,-0.014836981,0.06929089,0.0019433675,0.019830272
0.019314561,-0.005974192,-0.020127002,-0.029588051,-0.08396121,-0.023762828
-0.06336739,-0.072735764,-0.031464174,-0.06629515,-0.073252246,-0.028255494
0.012668756,-0.014800634,0.059963807,0.07156985,0.020152895,-0.056756876
-0.043330763,-0.00031819468,-0.06791682,-0.060931455,-0.016229685,0.03502067
-0.03913633,0.021072846,0.0056038,-0.024076112,0.017808612,0.036178447
0.058397505,-0.04470119,0.03820863,-0.01362407,-0.009871599,0.062024098
0.055060472,0.016928004,0.06693147,0.07482404,0.04681481,0.062208723
0.042461243,-0.04396614,-0.054940365,0.04412228,-0.046432115,0.0033801189
0.03874,0.02081426,-0.062639594,-0.053359494,-0.0020933894,0.062401097
-0.017108455,0.04614477,-0.06478765,-0.06540513,0.016293962,0.009655328
-0.06420611,0.012125122,-0.018029757,-0.0078149075,-0.032812823,0.030065158
-0.05495536,-0.08053066,-0.045977104,-0.07808107,0.020738157,-0.025571574
-0.00349468,-0.021934781,0.010578823,0.030174593,-0.0060971105,0.057642914
-0.0018257548,0.020369666,0.008587337,0.019649308,0.056072734,-0.0083978055
-0.009355204,0.034284793,-0.031718064,0.055275504,0.07013736,-0.017184682
0.032242037,0.04143721,-0.008530008,0.031283002,-0.073830575,-0.021127583
-0.020414233,0.0645952,-0.04483119,-0.018080993,0.008500244,0.075716265
0.04634435,-0.002041773,0.0027731478,-0.057403337,0.08332037,0.056209266
0.07874573,0.02431177,0.007486555,0.04078236,-0.02120244,-0.014220644
0.020954993,0.040318634,0.051088564,0.0521417,0.041525424,-0.023815185
-0.022768943,-0.027427983,0.045472287,-0.075366326,0.041919857,-0.014339057
-0.059098795,-0.062079556,0.0052219024,-0.014546147,-0.011663598,0.034156486
0.033186466,-0.02065201,0.052080832,0.015894491,0.07008659,0.061726034
-0.048944324,-0.040454157,0.07492076,0.050365616,0.027798386,-0.016779115
0.0015967911,-0.06595959,-0.03886774,-0.030283162,0.03211211,0.027454814
-0.025336826,0.018511754,0.023847597,0.01746312,0.09622537,-0.033511665
0.06726441,0.010171763,-0.01044503,0.040832985,0.050399993,0.02113754
0.04728855,0.053758357,-0.027287787,-0.049984753,0.06546328,0.055482674
-0.0019367544,-0.03195684,-0.028759582,0.016107291,0.042489015,0.04788197
-0.001296169,-0.017399423,0.06359583,-0.0419402,0.03950137,-0.06275396
0.020430127,0.0018049483,0.008834019,-0.009391035,0.00041796517,-0.030906763
0.030296188,0.016042896,0.00080629514,-0.04179964,0.048930015,-0.063409105
0.027177848,0.053664856,0.0091370195,-0.04364478,0.00097060937,-0.02883461
-0.045205683,-0.032982383,-0.06589915,-0.07364732,-0.10332644,-0.06260613
-0.054684542,-0.07715623,-0.041464392,-0.06549851,-0.0027143394,0.046900805
-0.058722023,-0.04849197,-0.03502596,-0.048260473,0.03283783,-0.010093494
-0.011044262,0.06684513,0.004501627,0.060451966,-0.045117885,-0.035239518
-0.016702238,0.025429768,0.06811788,-0.019774381,0.009374512,0.021084178
-0.038735386,0.046331167,0.028666,-9.64227e-05,0.029085472,0.021588203
-0.026743954,0.06128672,-0.07145331,0.023114689,-0.077912845,0.07099192
-0.034167368,-0.006745723,0.004242909,-0.030653942,0.0074744914,0.011038015
-0.05295398,0.050960463,-0.0024229442,-0.01432346,-0.014294871,0.015954249
0.0106219975,-0.033340972,-0.022987692,-0.03440028,-0.05390255,0.06726057
-0.019836163,-0.056133654,-0.05858407,-0.07722132,-0.060274046,-0.06872394
-0.041221607,-0.009406142,-0.0032936598,-0.06891502,0.029582039,0.030817581
0.0070770937,0.025321616,-0.08171159,0.020882213,-0.033942528,0.03984129
0.0100193545,0.06652724,-0.0014711587,0.0007737354,0.015472382,0.019336993
-0.009069087,-0.03816714,0.001448779,0.016916193,0.06822424,0.013370603
