subject	dataset	total_responses	total_unique_responses	repeats	mean_overall_semantic_sim	mean_overall_phonetic_sim	mean_frequency	mean_cluster_semantic_sim_troyerF	mean_switch_semantic_sim_troyerF	mean_cluster_phon_sim_troyerF	mean_switch_phon_sim_troyerF	pc_switches_troyerF	switch_count_troyerF	mean_cluster_size_with_singletons_troyerF	pc_clustered_responses_no_singletons_by_total_troyerF	mean_cluster_semantic_sim_delta	mean_switch_semantic_sim_delta	mean_cluster_phon_sim_delta	mean_switch_phon_sim_delta	pc_switches_delta	switch_count_delta	mean_cluster_size_with_singletons_delta	pc_clustered_responses_no_singletons_by_total_delta
40	subject_switch_lexical_results_v1	31	31	0	0.472455	0.084627	3.681935	0.539476	0.384812	0.066571	0.108238	43.333333	13	2.214286	83.333333	0.526015	0.365336	0.078025	0.097830	33.333333	10	2.818182	90.000000
41	subject_switch_lexical_results_v1	20	19	1	0.401257	0.095047	4.025000	0.450936	0.378328	0.128617	0.079554	68.421053	13	1.428571	47.368421	0.426678	0.346179	0.086877	0.112750	31.578947	6	2.857143	94.736842
42	subject_switch_lexical_results_v1	34	32	2	0.430640	0.084730	3.762941	0.486135	0.364047	0.104667	0.060807	45.454545	15	2.125000	78.787879	0.466132	0.349008	0.106626	0.034370	30.303030	10	3.090909	90.909091
43	subject_switch_lexical_results_v1	27	27	0	0.431559	0.071900	3.753704	0.510671	0.352447	0.048885	0.094915	50.000000	13	1.928571	80.769231	0.480058	0.339950	0.066312	0.082456	34.615385	9	2.700000	84.615385
44	subject_switch_lexical_results_v1	26	25	1	0.401130	0.103496	3.688846	0.441681	0.296856	0.107606	0.092929	28.000000	7	3.250000	92.000000	0.463919	0.306946	0.114033	0.087690	40.000000	10	2.363636	84.000000
45	subject_switch_lexical_results_v1	18	18	0	0.452946	0.106641	3.978333	0.565270	0.391679	0.058400	0.132955	64.705882	11	1.500000	58.823529	0.484570	0.305371	0.105671	0.111167	17.647059	3	4.500000	105.882353
50	subject_switch_lexical_results_v1	20	20	0	0.412584	0.057595	3.760000	0.451984	0.327218	0.058500	0.055633	31.578947	6	2.857143	94.736842	0.454995	0.320694	0.071315	0.027867	31.578947	6	2.857143	94.736842
52	subject_switch_lexical_results_v1	26	26	0	0.438337	0.088924	3.941154	0.503888	0.377830	0.122675	0.057769	52.000000	13	1.857143	76.000000	0.471232	0.334170	0.099437	0.055633	24.000000	6	3.714286	96.000000
53	subject_switch_lexical_results_v1	21	21	0	0.426780	0.052155	3.631433	0.474465	0.355252	0.025083	0.092762	40.000000	8	2.333333	80.000000	0.463690	0.217621	0.053994	0.041733	15.000000	3	5.250000	100.000000
54	subject_switch_lexical_results_v1	31	31	0	0.457403	0.039093	3.713226	0.525368	0.389438	0.016760	0.061427	50.000000	15	1.937500	83.333333	0.504268	0.363672	0.034020	0.049240	33.333333	10	2.818182	90.000000
