Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.5_fall=0.5,10.953125,3.512313254970528,forage_dynamic,7.915623409734476,2.0413020009817546,4.585358716614147,0.586435276052493,,
delta_rise=0.5_fall=0.5,10.953125,3.512313254970528,forage_phonologicaldynamicglobal,7.81136738482164,2.0276257938680327,5.216566235820695,0.9498818266320523,-0.09562364785728204,0.0973660254621949
delta_rise=0.5_fall=0.5,10.953125,3.512313254970528,forage_phonologicaldynamiclocal,7.89261553719658,2.052767826098004,6.122904527289106,1.735532243104819,-0.30549386972821296,0.5211304351010829
delta_rise=0.5_fall=0.5,10.953125,3.512313254970528,forage_phonologicaldynamicswitch,7.902596967818586,2.04402129646645,4.5857916053244,0.5865962618329893,-0.07260639737442652,0.3879386525551995
delta_rise=0.5_fall=0.75,9.541666666666666,3.2990423694695945,forage_dynamic,7.869981940171296,2.047545309582665,4.456530729845929,0.5942517049874957,,
delta_rise=0.5_fall=0.75,9.541666666666666,3.2990423694695945,forage_phonologicaldynamicglobal,7.756990523182768,2.032925805766616,5.097696882141031,0.9622695659193303,-0.09953413613847506,0.09688971294323241
delta_rise=0.5_fall=0.75,9.541666666666666,3.2990423694695945,forage_phonologicaldynamiclocal,7.818018788215056,2.052426726732319,5.804524844150588,1.5591163241146353,-0.2481304335543918,0.4079680856712041
delta_rise=0.5_fall=0.75,9.541666666666666,3.2990423694695945,forage_phonologicaldynamicswitch,7.860388595524231,2.0504142858604673,4.457045845751643,0.5941836478742903,-0.12244390329520967,0.5166203850608291
delta_rise=0.5_fall=1.0,8.197916666666666,3.077538896540907,forage_dynamic,7.832599425810764,2.038343683022573,4.33366906387718,0.6238269366936154,,
delta_rise=0.5_fall=1.0,8.197916666666666,3.077538896540907,forage_phonologicaldynamicglobal,7.714896843805392,2.023532456641259,4.967598994733871,0.9675620409506503,-0.10101600115271413,0.09650901522606008
