Subject,Semantic_Similarity_mean,Semantic_Similarity_std,Frequency_Value_mean,Frequency_Value_std,Phonological_Similarity_mean,Phonological_Similarity_std,#_of_Items,Switch_Method,Number_of_Switches,Cluster_Size_mean,Cluster_Size_std
11.0,,,,,,,,multimodal_alpha=0.6000000000000001,10,2.5454545454545454,0.8907235428302466
11.0,,,,,,,,multimodal_alpha=0.7000000000000001,10,2.5454545454545454,0.8907235428302466
11.0,,,,,,,,multimodal_alpha=0.8,10,2.5454545454545454,0.8907235428302466
11.0,,,,,,,,multimodal_alpha=0.9,10,2.5454545454545454,0.8907235428302466
11.0,,,,,,,,multimodal_alpha=1.0,10,2.5454545454545454,0.7820295697311479
11.0,,,,,,,,norms_associative,11,2.5454545454545454,1.3726971700492272
11.0,,,,,,,,norms_categorical,11,2.5454545454545454,1.1570838237598051
11.0,,,,,,,,simdrop,10,2.5454545454545454,0.7820295697311479
12.0,0.36959469855590615,0.08539876133043019,5.885340533903337,0.8803119267469585,0.20584444444444444,0.08340335891184347,20.0,delta_rise=0.0_fall=0.0,9,2.0,0.7745966692414834
12.0,,,,,,,,delta_rise=0.0_fall=0.25,7,2.5,1.4142135623730951
12.0,,,,,,,,delta_rise=0.0_fall=0.5,7,2.5,1.4142135623730951
12.0,,,,,,,,delta_rise=0.0_fall=0.75,6,2.857142857142857,2.1665358411575855
12.0,,,,,,,,delta_rise=0.0_fall=1.0,6,2.857142857142857,2.1665358411575855
12.0,,,,,,,,delta_rise=0.25_fall=0.0,11,1.6666666666666667,0.7453559924999299
12.0,,,,,,,,delta_rise=0.25_fall=0.25,8,2.2222222222222223,1.227262335243029
12.0,,,,,,,,delta_rise=0.25_fall=0.5,8,2.2222222222222223,1.227262335243029
12.0,,,,,,,,delta_rise=0.25_fall=0.75,7,2.5,2.0
12.0,,,,,,,,delta_rise=0.25_fall=1.0,7,2.5,2.0
12.0,,,,,,,,delta_rise=0.5_fall=0.0,15,1.3333333333333333,0.5962847939999438
12.0,,,,,,,,delta_rise=0.5_fall=0.25,11,1.8181818181818181,1.1922615498730909
12.0,,,,,,,,delta_rise=0.5_fall=0.5,11,1.8181818181818181,1.1922615498730909
12.0,,,,,,,,delta_rise=0.5_fall=0.75,7,2.5,2.0
12.0,,,,,,,,delta_rise=0.5_fall=1.0,7,2.5,2.0
