"Participant","Cluster","Items","total_items","cum_items","perc_items"
"848",8,1,31,14,0.451612903225806
"848",9,2,31,16,0.516129032258065
"848",10,2,31,18,0.580645161290323
"848",11,1,31,19,0.612903225806452
"848",12,12,31,31,1
"849",1,2,26,2,0.0769230769230769
"849",2,6,26,8,0.307692307692308
"849",3,3,26,11,0.423076923076923
"849",4,1,26,12,0.461538461538462
"849",5,2,26,14,0.538461538461538
"849",6,4,26,18,0.692307692307692
"849",7,2,26,20,0.769230769230769
"849",8,6,26,26,1
"850",1,1,11,1,0.0909090909090909
"850",2,1,11,2,0.181818181818182
"850",3,1,11,3,0.272727272727273
"850",4,1,11,4,0.363636363636364
"850",5,3,11,7,0.636363636363636
"850",6,1,11,8,0.727272727272727
"850",7,1,11,9,0.818181818181818
"850",8,1,11,10,0.909090909090909
"850",9,1,11,11,1
"851",1,2,31,2,0.0645161290322581
"851",2,2,31,4,0.129032258064516
"851",3,1,31,5,0.161290322580645
"851",4,2,31,7,0.225806451612903
"851",5,2,31,9,0.290322580645161
"851",6,1,31,10,0.32258064516129
"851",7,3,31,13,0.419354838709677
"851",8,12,31,25,0.806451612903226
"851",9,1,31,26,0.838709677419355
"851",10,5,31,31,1
"852",1,3,25,3,0.12
"852",2,2,25,5,0.2
"852",3,1,25,6,0.24
"852",4,1,25,7,0.28
"852",5,1,25,8,0.32
"852",6,2,25,10,0.4
"852",7,1,25,11,0.44
"852",8,1,25,12,0.48
"852",9,1,25,13,0.52
"852",10,5,25,18,0.72
"852",11,2,25,20,0.8
"852",12,1,25,21,0.84
"852",13,3,25,24,0.96
"852",14,1,25,25,1
"853",1,7,10,7,0.7
"853",2,1,10,8,0.8
"853",3,2,10,10,1
"854",1,2,22,2,0.0909090909090909
"854",2,2,22,4,0.181818181818182
"854",3,1,22,5,0.227272727272727
"854",4,1,22,6,0.272727272727273
"854",5,2,22,8,0.363636363636364
"854",6,1,22,9,0.409090909090909
"854",7,1,22,10,0.454545454545455
"854",8,1,22,11,0.5
"854",9,4,22,15,0.681818181818182
"854",10,3,22,18,0.818181818181818
"854",11,3,22,21,0.954545454545455
"854",12,1,22,22,1
"855",1,3,29,3,0.103448275862069
"855",2,1,29,4,0.137931034482759
"855",3,2,29,6,0.206896551724138
"855",4,1,29,7,0.241379310344828
"855",5,6,29,13,0.448275862068966
"855",6,1,29,14,0.482758620689655
"855",7,2,29,16,0.551724137931034
"855",8,1,29,17,0.586206896551724
"855",9,4,29,21,0.724137931034483
"855",10,1,29,22,0.758620689655172
"855",11,2,29,24,0.827586206896552
"855",12,1,29,25,0.862068965517241
"855",13,2,29,27,0.931034482758621
"855",14,1,29,28,0.96551724137931
"855",15,1,29,29,1
"856",1,2,19,2,0.105263157894737
"856",2,1,19,3,0.157894736842105
"856",3,1,19,4,0.210526315789474
"856",4,1,19,5,0.263157894736842
"856",5,3,19,8,0.421052631578947
"856",6,3,19,11,0.578947368421053
"856",7,1,19,12,0.631578947368421
"856",8,1,19,13,0.68421052631579
"856",9,1,19,14,0.736842105263158
"856",10,2,19,16,0.842105263157895
"856",11,1,19,17,0.894736842105263
"856",12,1,19,18,0.947368421052632
"856",13,1,19,19,1
"857",1,2,13,2,0.153846153846154
"857",2,1,13,3,0.230769230769231
"857",3,2,13,5,0.384615384615385
"857",4,1,13,6,0.461538461538462
"857",5,1,13,7,0.538461538461538
"857",6,2,13,9,0.692307692307692
"857",7,1,13,10,0.769230769230769
"857",8,1,13,11,0.846153846153846
"857",9,2,13,13,1
"858",1,1,23,1,0.0434782608695652
"858",2,1,23,2,0.0869565217391304
"858",3,1,23,3,0.130434782608696
"858",4,2,23,5,0.217391304347826
"858",5,2,23,7,0.304347826086957
"858",6,3,23,10,0.434782608695652
"858",7,2,23,12,0.521739130434783
"858",8,1,23,13,0.565217391304348
"858",9,2,23,15,0.652173913043478
"858",10,4,23,19,0.826086956521739
"858",11,2,23,21,0.91304347826087
"858",12,2,23,23,1
"859",1,5,28,5,0.178571428571429
"859",2,1,28,6,0.214285714285714
"859",3,1,28,7,0.25
"859",4,4,28,11,0.392857142857143
"859",5,11,28,22,0.785714285714286
"859",6,3,28,25,0.892857142857143
"859",7,2,28,27,0.964285714285714
"859",8,1,28,28,1
"860",1,4,16,4,0.25
"860",2,3,16,7,0.4375
"860",3,1,16,8,0.5
"860",4,2,16,10,0.625
"860",5,1,16,11,0.6875
"860",6,4,16,15,0.9375
"860",7,1,16,16,1
"861",1,6,16,6,0.375
"861",2,1,16,7,0.4375
"861",3,1,16,8,0.5
"861",4,4,16,12,0.75
"861",5,2,16,14,0.875
"861",6,2,16,16,1
"862",1,6,22,6,0.272727272727273
"862",2,1,22,7,0.318181818181818
"862",3,1,22,8,0.363636363636364
"862",4,2,22,10,0.454545454545455
"862",5,1,22,11,0.5
"862",6,2,22,13,0.590909090909091
"862",7,2,22,15,0.681818181818182
"862",8,1,22,16,0.727272727272727
"862",9,2,22,18,0.818181818181818
"862",10,1,22,19,0.863636363636364
"862",11,1,22,20,0.909090909090909
"862",12,2,22,22,1
"863",1,2,23,2,0.0869565217391304
"863",2,2,23,4,0.173913043478261
"863",3,4,23,8,0.347826086956522
"863",4,2,23,10,0.434782608695652
"863",5,1,23,11,0.478260869565217
"863",6,2,23,13,0.565217391304348
"863",7,1,23,14,0.608695652173913
"863",8,1,23,15,0.652173913043478
"863",9,1,23,16,0.695652173913043
"863",10,2,23,18,0.782608695652174
"863",11,2,23,20,0.869565217391304
"863",12,3,23,23,1
"865",1,1,19,1,0.0526315789473684
"865",2,1,19,2,0.105263157894737
"865",3,1,19,3,0.157894736842105
"865",4,1,19,4,0.210526315789474
"865",5,1,19,5,0.263157894736842
"865",6,3,19,8,0.421052631578947
"865",7,1,19,9,0.473684210526316
"865",8,1,19,10,0.526315789473684
"865",9,1,19,11,0.578947368421053
"865",10,2,19,13,0.68421052631579
"865",11,1,19,14,0.736842105263158
"865",12,2,19,16,0.842105263157895
"865",13,2,19,18,0.947368421052632
"865",14,1,19,19,1
"866",1,1,22,1,0.0454545454545455
"866",2,1,22,2,0.0909090909090909
"866",3,1,22,3,0.136363636363636
"866",4,2,22,5,0.227272727272727
"866",5,2,22,7,0.318181818181818
"866",6,2,22,9,0.409090909090909
"866",7,1,22,10,0.454545454545455
"866",8,1,22,11,0.5
"866",9,1,22,12,0.545454545454545
"866",10,1,22,13,0.590909090909091
"866",11,4,22,17,0.772727272727273
"866",12,1,22,18,0.818181818181818
"866",13,1,22,19,0.863636363636364
"866",14,1,22,20,0.909090909090909
"866",15,2,22,22,1
"867",1,1,29,1,0.0344827586206897
"867",2,1,29,2,0.0689655172413793
"867",3,2,29,4,0.137931034482759
"867",4,1,29,5,0.172413793103448
"867",5,9,29,14,0.482758620689655
"867",6,3,29,17,0.586206896551724
"867",7,4,29,21,0.724137931034483
"867",8,1,29,22,0.758620689655172
"867",9,1,29,23,0.793103448275862
"867",10,4,29,27,0.931034482758621
"867",11,2,29,29,1
"868",1,1,19,1,0.0526315789473684
"868",2,1,19,2,0.105263157894737
"868",3,3,19,5,0.263157894736842
"868",4,5,19,10,0.526315789473684
"868",5,5,19,15,0.789473684210526
"868",6,2,19,17,0.894736842105263
"868",7,2,19,19,1
"869",1,2,25,2,0.08
"869",2,1,25,3,0.12
"869",3,1,25,4,0.16
"869",4,3,25,7,0.28
"869",5,1,25,8,0.32
"869",6,4,25,12,0.48
"869",7,2,25,14,0.56
"869",8,3,25,17,0.68
"869",9,1,25,18,0.72
"869",10,1,25,19,0.76
"869",11,2,25,21,0.84
"869",12,1,25,22,0.88
"869",13,3,25,25,1
"870",1,2,22,2,0.0909090909090909
"870",2,1,22,3,0.136363636363636
"870",3,1,22,4,0.181818181818182
"870",4,2,22,6,0.272727272727273
"870",5,3,22,9,0.409090909090909
"870",6,2,22,11,0.5
"870",7,7,22,18,0.818181818181818
"870",8,3,22,21,0.954545454545455
"870",9,1,22,22,1
"871",1,2,15,2,0.133333333333333
"871",2,2,15,4,0.266666666666667
"871",3,1,15,5,0.333333333333333
"871",4,1,15,6,0.4
"871",5,1,15,7,0.466666666666667
"871",6,1,15,8,0.533333333333333
"871",7,1,15,9,0.6
"871",8,1,15,10,0.666666666666667
"871",9,4,15,14,0.933333333333333
"871",10,1,15,15,1
"872",1,3,22,3,0.136363636363636
"872",2,1,22,4,0.181818181818182
"872",3,2,22,6,0.272727272727273
"872",4,1,22,7,0.318181818181818
"872",5,3,22,10,0.454545454545455
"872",6,4,22,14,0.636363636363636
"872",7,2,22,16,0.727272727272727
"872",8,1,22,17,0.772727272727273
"872",9,1,22,18,0.818181818181818
"872",10,2,22,20,0.909090909090909
"872",11,1,22,21,0.954545454545455
"872",12,1,22,22,1
"873",1,2,17,2,0.117647058823529
"873",2,2,17,4,0.235294117647059
"873",3,4,17,8,0.470588235294118
"873",4,2,17,10,0.588235294117647
"873",5,1,17,11,0.647058823529412
