word,distance_to_centroid,distance_to_domain,distance_to_first_item,ID
gorilla,0.7723815910524956,1.1124524595952483,1.1572823604129217,21
rhino,0.8105121933588121,1.1848310376808922,1.2537661962421,21
panda,0.8347375621444231,1.149531493643352,1.2107509177954412,21
bear,0.7579915190177587,1.123889483266586,1.122773051378375,21
spider,0.7853782134059171,1.1726798248185308,1.0583371210557808,21
ant,0.8297321988282594,1.1858999298076058,1.162289538175381,21
dog,0.7424111631781156,0.9269403591208584,0.0,22
cat,0.7463943175680953,1.0192089061953933,0.8674575951584943,22
snake,0.7624377703346281,1.1086529518216863,1.0457062768666496,22
sloth,0.8419847401067776,1.222548951499027,1.234996932250183,22
lion,0.757341039859544,1.058551939504521,1.0955525339606704,22
frog,0.76500867056078,1.0931126652960574,1.0501031932012101,22
octopus,0.7861664964704115,1.1974860366461029,1.204656380477579,22
butterfly,0.8140316317357882,1.1739238085649506,1.107960200263417,22
gorilla,0.7728912314478553,1.1124524595952483,1.1131189759455395,22
zebra,0.7912250985118624,1.1176582885897683,1.1617665161541142,22
ostrich,0.825215199921141,1.2283689367341117,1.2319197942987306,22
whale,0.7579625462023534,1.1430481592310042,1.123968771597805,22
dolphin,0.8048619964000508,1.148120934302907,1.1609553121142218,22
fish,0.7542150195363274,0.9885987955423701,0.9917293707513966,22
flamingo,0.8126028024143312,1.200739366653492,1.168386654484427,22
polar bear,0.7693374280228148,1.1610228591656826,1.1285885632302763,22
bear,0.7647019659784982,1.123889483266586,1.033089316171676,22
hamster,0.8002464140568328,1.090381199521366,1.033074695302684,22
chinchilla,0.7937572535269497,1.1626768187232164,1.1340197819991447,22
tiger,0.7501413499462222,1.1369978991343088,0.0,23
lion,0.7446511788668574,1.058551939504521,0.9708151297324147,23
bear,0.7905911075059326,1.123889483266586,1.0481941070028127,23
ostrich,0.8026551056630689,1.2283689367341117,1.138585454754609,23
dog,0.7429435599482231,0.9269403591208584,1.1164975264568107,23
cat,0.7363818586683536,1.0192089061953933,1.0270121376671233,23
bird,0.7643588645663603,1.0737931483409942,1.1040444269730285,23
fish,0.747760710395827,0.9885987955423701,1.1100251869461324,23
alpaca,0.8259886383609734,1.1749418382249637,1.2161581459052229,23
llama,0.7743064413791653,1.1520927992140997,1.1802966062061013,23
cow,0.737284762390732,1.0393942981466475,1.0704787409521863,23
pig,0.7713229251948286,1.1056965981978975,1.1009316096861084,23
chicken,0.7856391763429471,1.1216453062598462,1.152140010944935,23
elephant,0.7275984661661277,1.0461949098088636,0.9869363273120004,23
antelope,0.7569486484349671,1.092199807953824,1.1234465957558384,23
jaguar,0.8213465888169104,1.223031024062769,1.04045319583616,23
shark,0.7756008589518708,1.1805122403871113,1.0720181459277562,23
whale,0.7699874301500272,1.1430481592310042,1.1254110483027093,23
dolphin,0.8099423989310636,1.148120934302907,1.1774668230280367,23
monkey,0.7292119087835721,1.0776578204652905,0.985557319304623,23
baboon,0.743888965091279,1.1501268499293378,1.0771713444825994,23
gorilla,0.7782922186133832,1.1124524595952483,1.134522177471038,23
snake,0.7795599662513238,1.1086529518216863,1.1137590646212028,23
salamander,0.8372574182013098,1.1887950155232851,1.1688153231872485,23
cat,0.7131597231957223,1.0192089061953933,0.0,24
dog,0.7166672689518381,0.9269403591208584,0.8674575951584943,24
